ID,TOKEN,LEMMA,SENTENCE,VERB SEMANTICS,language,PoS
LET5_SVE_ZENO00_1,occorrano,occorrere,"raddoppiasse la posta . L' anno 1913 mi diede un momento d ' esitazione . Mancava il tredicesimo mese per accordarlo con l' anno . Ma non si creda che occorrano tanti accordi in una data per dare rilievo ad un ' ultima sigaretta . Molte date che trovo notate su libri o quadri preferiti , spiccano per la loro deformità",02742134-v be used or required for,Italian,verb
TEA3_ARE_TALA00_1,intervenuto,intervenire,"entrarò in casa per la porta che riesce in questa altra via . Subito ch' io l' ho visto , mi sono indovinato di cio che è intervenuto al padrone , ma queste cose , accascano in amore ; hora egli mi manda ad avisar la signora del caso ; potria essere ogni cosa , ma ch' io",00340744-v come to pass,Italian,verb
LET2_BEMB_ASOLA_1,pervennero,pervenire,"nel giardino le vaghe donne co ' loro giovani caminando tutte difese dal sole , et questa cosa et quell ' altra mirando et considerando et di molte ragionando , pervennero in un pratello che 'l giardin terminava , di freschissima et minutissima herba pieno et d ' alquante maniere di vaghi fiori dipinto per entro et segnato ; nello stremo",02009962-v reach a destination; arrive by movement or progress,Italian,verb
POE3_COL_RIME00_1,Convenne,convenire,", e intorno cinse ; chi più conobbe il ben più se ne tolse ; l' indissolubil nodo in premio volse per esser vinta da chi gli altri vinse . Convenne al ricco bel legame eterno spreggiar questa mortal caduca spoglia per annodarmi in più mirabil modo ; onde tanto obligò lo spirto interno ch' al cangiar vita fermerò la voglia",02674167-v be appropriate or necessary,Italian,verb
LET1_ALIG_CONVI_2,conviene,convenire,"allora sì guarda lo dono a quella parte , quando si dirizza al bisogno dello ricevente . E però che dirizzarsi ad esso non può se non sia utile , conviene , acciò che sia con atto libero la vertù , essere utile lo dono alla parte ov ' elli vae , ch' è lo ricevitore , e per consequente conviene",02674167-v be appropriate or necessary,Italian,verb
LET1_BOCC_CORB0_1,sovvenire,sovvenire,"medesimo uscito di mente , sì come Essa benignissima fa sovente nelle bisogne de' ' suoi divoti , che , senza priego aspettare , da se medesima si muove a sovvenire dello opportuno aiuto al bisogno , veggendo il pericolo al qual tu eri , senza tua domanda aspettare , per te al Figliuolo domandò grazia e impetrò la salute tua",02554407-v help in a difficult situation,Italian,verb
POE1_PETR_CANZO_1,soccorri,soccorrere,", chi la chiamò con fede : Vergine , s ' a mercede miseria extrema de l' humane cose già mai ti volse , al mio prego t' inchina , soccorri a la mia guerra , bench ' i ' sia terra , et tu del ciel regina . Vergine saggia , et del bel numero una de le beate vergini",02553283-v give help or assistance; be of service,Italian,verb
LET1_BOCC_DECA2_1,intervenuto,intervenire,"consiglio di volere in altrui persone tentar quello che il marito dicesse da farne ; e destatolo quello che presenzialmente a lui avvenuto era disse essere a un ' altra intervenuto , e poi il domandò se a lei avvenisse che consiglio ne prenderebbe . Il buono uomo rispose che a lui parrebbe che colui che morto fosse si dovesse chetamente",00340744-v come to pass,Italian,verb
LET4_VIC_AUTO00_1,prevenuto,prevenire,"l Vico godé non averne prima avuto contezza , tra per la riverenza di un tale e tanto poeta , e perché , ove avesse saputo che era stato già prevenuto , non arebbe osato né goduto di lavorarla . Oltre a queste , sull ' idea dell ' "" anno massimo "" di Platone , sopra la quale aveva steso",02571406-v act in advance of; deal with ahead of time,Italian,verb
POE2_BOIAR_AMO1_1,convien,convenire,"mostrar di fora ardir , se 'l cor mi trema . Se pietà non mi porge il viso umano , e proveda che Amor sì non mi prema , ancor convien ch' io cridi , non ch' io gema . Come vuol frema il mare o il ciel intoni , ché a tutti e ' soni a me dansar convene ,",02674167-v be appropriate or necessary,Italian,verb
POE1_ALIG_VNCVR_1,convenemi,convenire,"matera prenda ; e vorrei dire , e non so ch' io mi dica : così mi trovo in amorosa erranza ! E se con tutti voi fare accordanza , convenemi chiamar la mia nemica , madonna la Pietà , che mi difenda . \ Con l' altre donne mia vista gabbate , e non pensate , donna , onde si",02674167-v be appropriate or necessary,Italian,verb
POE1_GUINI_RIME_1,conven,convenire,", siando l' alma mia a lui davanti . "" Lo ciel passasti e 'nfin a Me venisti e desti in vano amor Me per semblanti : ch' a Me conven le laude e a la reina del regname degno , per cui cessa onne fraude "" . Dir Li porò : "" Tenne d ' angel sembianza che fosse del",02674167-v be appropriate or necessary,Italian,verb
POE5_PAS_MYRI00_1,precorrervi,precorrervi,"nell ' infrangersi del cuore : paion umide di lagrime , paion ebbre di dolore . Oh ! qual colpa macchiò l' anima di codeste prigioniere ? qual dolor poté precorrervi la fiorita del piacere ? Queste bimbe , queste vergini in che offesero Dio santo , che perdóno ne sospirano con sì lungo inno di pianto ? Manda l' organo",00343295-v be a forerunner of or occur earlier than,Italian,verb
TEA4_MAN_ADEL00_1,conviensi,convenire,"fia chiuso . \ Ebbene ; Moriam qui da guerrier . \ Siamo traditi : Siam venduti al macello . \ In giusta guerra Morir vogliam , come a guerrier conviensi , Non isgozzati a tradimento . \ I Franchi ! MOLTI SOLDATI Fuggiamo ! \ Ebben , correte ; anch ' io con voi Fuggo : è destin di chi",02674167-v be appropriate or necessary,Italian,verb
LET4_MUR_POES00_1,pervenuti,pervenire,"come della teologia , giurisprudenza , medicina , e somiglianti , le quali non perdono il pregio loro , perchè alcuni le abusino . Ed eccoci a poco a poco pervenuti a scorgere , per qual cagione principalmente non sia apprezzata secondo il dovere la poesia , anzi perchè la vilipendano tante persone . Da ' medesimi poeti ella è tradita",00347930-v arrive at the point of,Italian,verb
LET4_LEO_OPMO00_1,convenire,convenire,"l' inquieta , insaziabile , immoderata natura umana ; alla tranquillità della quale , non che alla felicità , vedeva oramai per certo , niun provvedimento condurre , niuno stato convenire , niun luogo essere bastante ; perché quando bene egli avesse voluto in mille doppi aumentare gli spazi e i diletti della terra , e l' università delle cose ,",02705783-v accord or comport with,Italian,verb
POE1_ALIG_COMIF_1,soccorse,soccorrere," io di mia virtude stanca , e tanto buono ardire al cor mi corse , ch' i ' cominciai come persona franca : "" Oh pietosa colei che mi soccorse ! e te cortese ch' ubidisti tosto a le vere parole che ti porse ! Tu m' hai con disiderio il cor disposto sì al venir con le parole tue",02554407-v help in a difficult situation,Italian,verb
LET3_GUI_STOR00_1,soccorrerla,soccorrere,", secondo la sua duplicità , gli Orsini , raccolte nuove forze , andorono a campo a Palombara terra principale de' ' Savelli ; e si preparavano per andare a soccorrerla i Colonnesi , che dopo la vittoria avevano occupate molte castella de' ' Conti . Ma accortasi l' una parte e l' altra che 'l pontefice , dando animo ora",02554407-v help in a difficult situation,Italian,verb
POE1_PETR_TRION_1,conven,convenire,"da corruccio , e non da scherzo , avenir questo a me , s ' i ' fossi in cielo non dirò primo , ma secondo o terzo ! Or conven che s ' accenda ogni mio zelo , sì ch' al mio volo l' ira adoppi i vanni , ch' io porto invidia agli uomini , e nol celo ,",02674167-v be appropriate or necessary,Italian,verb
LET4_PAR_PRIN00_1,provenuto,provenire,", voi altri nobili ? \ Noi nasciamo come se ' nato tu medesimo , se io ho a dirti 'l vero : ma il sangue che in noi è provenuto dai nostri maggiori è tutt ' altra cosa che il tuo . \ Dàlle ! e voi seguite pure a infilzarmi maraviglie . Forseché il vostro sangue non è come",02743062-v come from; be connected by a relationship of blood,Italian,verb
LET2_MACH_IFIOR_1,concorse,concorrere,"si urtavano . Trovandosi adunque tutta la città armata , nacque a sorte una quistione in Mercato Vecchio , dove assai gente secondo che in simili accidenti si costuma , concorse . E spargendosi il romore , fu apportato ai Ricci come gli Albizzi gli assalivano , e agli Albizzi che i Ricci gli venivano a trovare ; per la qual",02433771-v collect in one place,Italian,verb
LET4_LEO_OPMO00_2,concorrere,concorrere,"rimuovano dai negozi della vita il più che si possa , e che a poco a poco dieno luogo , sottentrando le macchine in loro scambio . E deliberata di concorrere con ogni suo potere al progresso di questo nuovo ordine delle cose , propone per ora tre premi a quelli che troveranno le tre macchine infrascritte . L' intento della",02313721-v contribute to some cause,Italian,verb
POE5_CAR_LEVI00_1,accorrendo,accorrere,"ogni desio sfavilla . L' udì pria l' aspettante Di Caprera leon : con un ruggito Fiutando la battaglia alzò la testa , E saltò fuor . Le sante Ombre accorrendo al dittator romito Lo circondâr con rombo di tempesta . E già l' inclita gesta Prende ogni mente giovanil : chiamare Novellamente pare Giù da Marsala un lieto suon di",02062918-v move hurridly,Italian,verb
POE1_ALIG_COMPD_1,convienti,convenire,". Tu se ' omai del maggior punto certo ; ma perché Santa Chiesa in ciò dispensa , che par contra lo ver ch' i ' t' ho scoverto , convienti ancor sedere un poco a mensa , però che 'l cibo rigido c ' hai preso , richiede ancora aiuto a tua dispensa . Apri la mente a quel ch'",02674167-v be appropriate or necessary,Italian,verb
POE2_POLIZ_SGIO_1,pervenne,pervenire,"reti , e prende il core , dolce in sembianti , in atti acerbo e fello , giovene nudo , faretrato augello . Or poi che ad ale tese ivi pervenne , forte le scosse , e giù calassi a piombo , tutto serrato nelle sacre penne , come a suo nido fa lieto colombo : l' aier ferzato assai stagion",02009962-v reach a destination; arrive by movement or progress,Italian,verb
POE3_MAR_ADON00_1,conviene,convenire,"gradito , pur non ricuserà , se 'l comand ' io , nele fornaci in Mongibello accese a temedesmo edificar l' arnese . E tu per cui schernita ir mi conviene con infamia immortal fra gli altri dei , sol intento a recarmi affanni e pene , nulla curi giamai gli oltraggi miei , anzi ver me , con l' odio",02674167-v be appropriate or necessary,Italian,verb
POE5_DAN_PRIM00_1,accorrete,accorrere,"sorelle , gli strani amor di Tetide ! . . . Alma Cimòtoe da 'l crin castaneo , gentil Limnòria da ' ricci floridi , occhibovina Toe , deh ! accorrete a 'l cantico ! . . . - E volo : e i villici su l' unco vomere poggiati frangono le glebe , attoniti co ' grandi occhi guatando a",02062918-v move hurridly,Italian,verb
LET1_ALIG_VNUOV_1,convenia,convenire,"fu sì tosto a lui disponsata , e cominciò a prendere sopra me tanta sicurtade e tanta signoria per la vertù che li dava la mia imaginazione , che me convenia fare tutti li suoi piaceri compiutamente . Elli mi comandava molte volte che io cercasse per vedere questa angiola giovanissima ; onde io ne la mia puerizia molte volte l'",02674167-v be appropriate or necessary,Italian,verb
TEA3_ARE_MARE00_1,Occorse,occorrere,"ella prudentemente gustando la natura mia , tutto quello parlava , tutto quello ordinava e tutto quello operava , che io a bocca appena non le arei saputo dimandare . Occorse non so che mia malatia , o Dio che cura , o Dio che sollecitudine , o Dio che amore usciva di lei inverso de le bisogna mie : ella",00340744-v come to pass,Italian,verb
LET2_MACH_DPDTL_1,conviene,convenire,"sarebbe il vero vivere politico e la vera quiete d ' una città . Ma sendo tutte le cose degli uomini in moto , e non potendo stare salde , conviene che le salghino o che le scendino ; e a molte cose che la ragione non t' induce , t' induce la necessità : talmente che , avendo ordinata una",02674167-v be appropriate or necessary,Italian,verb
POE3_DECA_RIM00_1,trascorre,trascorrere,"mio di loro penser , dolce novella al core afflitto , contra quel che nel ciel forse è prescritto , recar potesse . Ahi mio nobil tesoro , troppo inanzi trascorre la lingua e quel ch' i ' non detto ragiona : colpa d ' Amor , che porre le devria freno , ed ei la scioglie e sprona . Canzon",02055618-v move past,Italian,verb
LET2_MACH_IFIOR_2,pervenne,pervenire,"si obligorono di soccorrersi , quando accadessi che alcuno di loro fusse dai magistrati oppresso . \ Mentre che costoro ad occupare la republica si preparavano , questo loro disegno pervenne a notizia de' ' Signori : per la qual cosa ebbono uno Simone dalla Piazza nelle mani , da il quale intesono tutta la congiura , e come il giorno","02024442-v reach a destination, either real or abstract",Italian,verb
POE1_GUITT_RIME_1,conven,convenire,", ch' altro non vegio ormai sia validore . Ché , prima del piacer , poco po noia , ma poi , po forte troppo om dar tristore : maggio conven che povertà si porga a lo ritornador , ch' a l' entradore . Adonqua eo , lasso , in povertà tornato del più ricco acquistato che mai facesse alcun del",02674167-v be appropriate or necessary,Italian,verb
POE1_CPIST_RIME_1,conven,convenire,"ciò che donna onora ; ma quest ' è quel che più m' ancide ancora , da ch' io vi veggio d ' ogni pietà fòra ; tanto che guai conven che di voi traggia , come d ' una crudel fera selvaggia . \ Deh ! com ' sarebbe dolce compagnia se questa donna e Amore e Pietate fossero insieme",02674167-v be appropriate or necessary,Italian,verb
POE4_MON_ILIA00_2,Precorsi,precorrere,"un certo Darete , uom ricco e d ' onoranza degno , di Vulcan sacerdote , e genitore di due prodi figliuoi mastri di guerra Fegèo nomati e Idèo . Precorsi agli altri si fêr costoro incontro a Diomede , essi sul cocchio , ed ei pedone : e a fronte divenuti così , scagliò primiero la lung ' asta Fegèo",02003250-v move ahead (of others) in time or space,Italian,verb
POE4_ALF_RIME00_1,prevenir,prevenire,"tuo indugiar m' irrita ? Sottrammi ai re , cui sol dà orgoglio , e regno , Viltà dei più , ch' a inferocir gl ' invita , E a prevenir dei pochi il tardo sdegno . \ Negri , vivaci , e in dolce fuoco ardenti Occhi , che date a un tempo e morte , e vita ; Siate",02571406-v act in advance of; deal with ahead of time,Italian,verb
POE2_POLIZ_RIME_1,Soccorrimi,soccorrere,", ché le mie voci avrian già mossi e sassi ! S ' a te servire el ciel mi dè per sorte , perché sanza ragion morir mi lassi ? Soccorrimi oramai , merzé chiamando finir mi sento , il core in te sperando . \ Che debbo io più , meschino , omai pensare , d ' aver riposo in",02554407-v help in a difficult situation,Italian,verb
TEA3_ARE_IPOC00_1,intervien,intervenire,"in cotale modo il predetto unto gli penetra talmente l' ossa , che si distrugge in bocca . \ Sia ammazzato chi ne ha e non spende . \ Gli intervien peggio . \ Come ? \ Dimandane quella avarizia che gli scanna le voglie , onde non se ne posson cavare pure una . \ Ora in casa , ma",00340744-v come to pass,Italian,verb
LET4_ALF_VIRT00_1,soccorre,soccorrere,"solamente a me stesso in tal guisa rimasto , me stesso invano ricerco , e non trovo . Ed ecco come alla accesa mia fantasia altro sfogo o rimedio non soccorre , che il pianto , o le rime . Ed ecco come , ora desiando , ora immaginando di vederti e parlarti , io ho vissuti questi due anni dacché",00725311-v come to one's mind; suggest itself,Italian,verb
TEA2_NMACH_CLIZ_1,intervenghino,intervenghino,"io stia sanza moglie e sanza cena , io son contento . Né credo che in uno anno intervenghino tante cose , quante sono intervenute oggi e dubito non ne intervenghino dell ' altre , perché io ho sentito per casa certi sghignazzamenti , che non mi piacciano . Ma ecco ch' io veggo apparire un torchio : e debbe uscir",00340744-v come to pass,Italian,verb
LET2_MACH_IFIOR_3,incorrerebbono,incorrere,"canto , pareva da differire , perché giudicava bisognassero forze , e quelle non essere possibile , sanza dimostrazione , raccozzare , e quando fussero scoperti , in manifesto pericolo incorrerebbono . Giudicava per tanto essere necessario che il propinquo San Giovanni si aspettasse ; nel quale tempo , per essere il più solenne giorno della città assai moltitudine in quella",02726906-v make oneself subject to; bring upon oneself; become liable to,Italian,verb
TEA3_TAS_AMIN00_1,sovenne,sovvenire,"appressare alla sua questa mia bocca ; e fatto non so come astuto e scaltro più de l' usato ( guarda quanto Amore aguzza l' intelletto ! ) mi sovenne d ' un inganno gentile co 'l qual io recar potessi a fine il mio talento ; che fingendo ch' un' ape havesse morso il mio labro di sotto ,",00725311-v come to one's mind; suggest itself,Italian,verb
LET4_LEO_OPMO01_1,provenire,provenire,", per l' eccellenza della quale io t' ho fornita . \ Io non ho ancora appreso nulla ; cominciando a vivere in questo punto : e da ciò dee provenire ch' io non t' intendo . Ma dimmi , eccellenza e infelicità straordinaria sono sostanzialmente una cosa stessa ? o quando sieno due cose , non le potresti tu scompagnare",00638236-v reason by deduction; establish by deduction,Italian,verb
LET4_VIC_AUTO00_2,concorresse,concorrere,"minor incerta somma che si ritragge dai diritti delle fedi con le quali tal professore abilita gli studenti allo studio legale ; detto dal signor Caravita che egli illico vi concorresse , ed esso ricusando perché un ' altra pretenzione , che pochi mesi innanzi esso aveva fatta , di segretario della città , gli era infelicemente riuscita ; il signor",01074673-v compete for something; engage in a contest; measure oneself against others,Italian,verb
LET5_DEL_CANN00_1,aggredita,aggredire,". "" Zia Kallina "" disse una voce straniera , "" perché avete raccontato i miei affari al servo ? "" "" È lui che ha voluto . Mi ha aggredita e voleva uccidermi . "" "" Uccidervi ? Per così poco ? Oh , quell ' uomo e le mie zie fanno tanto strepito per delle miserie , mentre c",01122487-v attack someone physically or emotionally,Italian,verb
LET5_SVE_ZENO00_2,occorre,occorrere,e mi vantai della vittoria . Uno dei due piccoli omini mi disse allora : - A me non importa di aver perduto perché io non fumo che quanto m' occorre . Ricordo la parola sana e non la faccina certamente sana anch ' essa che a me doveva essere rivolta in quel momento . Ma allora io non sapevo se,"02634015-v require as useful, just, or proper",Italian,verb
POE4_LEO_CANT01_1,occorre,occorrere,"dell ' armi e con la rauca voce E col funereo ceffo il core agghiaccia Al passegger , cui semivivo e nudo Lascia in breve tra ' sassi . Infesto occorre Per le contrade cittadine il bianco Tuo lume al drudo vil , che degli alberghi Va radendo le mura e la secreta Ombra seguendo , e resta , e si",02291532-v find unexpectedly,Italian,verb
POE2_LPULC_MOR3_1,proverremo,provenire,"Orlando dicìa : - Io ti farò , cavalier , villania . Aspettami , se vuoi , tanto ch' io vada a qualche cosa a legar quel lione , poi proverremo e la lancia e la spada per quel ch' ha fatto il gigante ghiottone . - Rispose Orlando : - Fa ' come t' aggrada , o lancia o spada",01120867-v take the initiative and go on the offensive,Italian,verb
TEA4_MET_ZENO00_1,Prevenir,prevenire,". \ Ferma ! \ Che brami ? \ Io . . . Pensa . . . ( Assistetemi , o dèi ! ) \ T' intendo : io deggio Prevenir le tue brame Senza che parli : è privilegio antico Già delle belle . Il so : tu Radamisto Hai ragion d ' aborrir . Gl ' impeti suoi ,",02571406-v act in advance of; deal with ahead of time,Italian,verb
TEA5_PIR_ODI100_1,convenirne,convenirne,"il peso e la responsabilità , persuadendo l' altro a ritirarsi . \ E hai detto questo anche a lei ? \ Sì . Anche a lei , prima di convenirne con Tito . È il sentimento mio ; come ora è anche di Tito . \ E lei ha detto di no ? \ Di no , di no ,",00807038-v be in accord; be in agreement,Italian,verb
POE5_GOZ_COLL00_1,trascorre,trascorrere,"con grande paura , la casa ben chiusa ed oscura , di gelidi raggi improvvisi ? Un fluido investe il torace , frugando il men peggio e il peggiore , trascorre , e senza dolore disegna su sfondo di brace e l' ossa e gli organi grami , al modo che un lampo nel fosco disegna il profilo d ' un",02070438-v move or progress freely as if in a stream,Italian,verb
POE3_MAR_ADON00_2,precorse,precorrere,"maggior duci antichi e de' ' moderni . Non so in qual sacro fonte immerse il labro o in qual libro divin gli annali lesse , siché 'l fato precorse il dotto fabro quando il futuro in vivo intaglio espresse . Imprese varie nel metallo scabro molt ' anni pria che fussero successe finte avea con tant ' arte e",02718318-v be earlier in time; go back further,Italian,verb
LET4_VER_ERAT00_1,trascorrere,trascorrere,", e scontento dell ' universo , quando non fosse moderato dalla speranza dell ' Eliso e da ' terrori dell ' Erebo , dovea qual torrente sanz ' argini trascorrere in violente operazioni . Mentre questi così ragionavano , Erostrato , già ritornato alle sue stanze , giacea nel sonno in cui avea sommersi quei turbati pensieri . \ RICONOSCENZA","02070867-v move along, of liquids",Italian,verb
LET4_MUR_FANT00_1,occorre,occorrere,"facoltà realmente distinta dall ' intelletto e dalla volontà . Finalmente se un ' anima sciolta giugne a veder Dio , in lui può essa vedere tutto quanto a lei occorre per essere sommamente felice , e sapere infinite cose . Ritornando ora ad essa memoria , il cui magazzino dicemmo riposto nella fantasia , possiam di qui apprendere , perché","02634015-v require as useful, just, or proper",Italian,verb
TEA4_MAN_ADEL00_2,precorre,precorrere,"Quai cani disciolti , correndo , frugando , Da ritta da manca , guerrieri venir : Li vede , e rapito d ' ignoto contento , Con l' agile speme precorre l' evento , E sogna la fine del duro servir . Udite ! Quei forti che tengono il campo , Che ai vostri tiranni precludon lo scampo , Son giunti",02571406-v act in advance of; deal with ahead of time,Italian,verb
LET1_BOCC_CORB0,pervenissi,pervenire,"tanto più parea che di piacere mi porgesse , per che da quello si fermò una speranza la quale mi promettea che , se io al fine del sentiero pervenissi, letizia inestimabile e mai da me non sentita mi si apparechiava . Onde pareva che in me s ' accendesse un disio sì fervente di pervenire a quello ,",02009962-v reach a destination; arrive by movement or progress,Italian,verb
POE5_MON_OSSI00_1,percorsa,percorrere,"le mattine sono ancorate come barche in rada . MEDITERRANEO \ A vortice s ' abbatte sul mio capo reclinato un suono d ' agri lazzi . Scotta la terra percorsa da sghembe ombre di pinastri , e al mare là in fondo fa velo più che i rami , allo sguardo , l' afa che a tratti erompe dal suolo",01850858-v travel upon or across,Italian,verb
TEA3_ARE_CORT01_1,Soccorretime,Soccorretime,"tu vestiti el saltimbarco e così trovandolo el Bargello lo appiccarà in tuo scambio . \ Impiccato , ah ! Misericordia ! A la strada , a la strada ! Soccorretime , io son morto ! \ Tenetelo , tenetelo ! Piglia , para ! A la spia , al mariolo ! Ah , ah , ah , ah ! \",02554407-v help in a difficult situation,Italian,verb
POE2_BOIAR_AMO1_2,Convense,Convense,\ Chi crederebbe che sì bella rosa avesse intorno sì pungente spine ? Chi crederebbe ascosa mai crudeltate in forme sì divine ? Merita tal risposta la mia fede ? Convense a cortesia scaciar da sé colui che mercè chiede ? Forsi de lo arder mio tanto non crede ? Ma già la fiamma mia fatta è tanto alta che ciascun,02674167-v be appropriate or necessary,Italian,verb
POE4_MON_ILIA00_1,aggredir,aggredire,"volse al Dio dell ' armi il Dio del giorno , e disse Eversor di città , Marte omicida , che sol nel sangue esulti , e non andrai ad aggredir tu dunque , a cacciar lungi questo altiero mortal , questo Tidìde che alle mani verrìa con Giove ancora ? Egli assalse e ferì prima Ciprigna al carpo della mano",01122487-v attack someone physically or emotionally,Italian,verb
LET2_CAST_CORTE_1,intervenissi,intervenire,"di molti antichi , rinovando una grata memoria , recitaremo alcuni ragionamenti , i quali già passarono tra omini singularissimi a tale proposito ; e benché io non v ' intervenissi presenzialmente per ritrovarmi , allor che furon detti , in Inghilterra , avendogli poco appresso il mio ritorno intesi da persona che fidelmente me gli narrò , sforzerommi a punto",01084999-v become a participant; be involved in,Italian,verb
