ID,TOKEN,LEMMA,SENTENCE,VERB SEMANTICS,language,PoS
13.216073_Cic.Amic.,consentiunt,consentio,"amicitia in rebus humanis, de cuius utilitate omnes uno ore consentiunt; quamquam a multis virtus ipsa contemnitur et venditatio quaedam atque",00807038-v be in accord; be in agreement,Latin,verb
24.1.1175.262827_Ap.Rhod.,εἰσορόων,εἰσοράω,"ἔκαμψεν αὐσταλέος κονίῃσι, περιτριβέας δέ τε χεῖρας εἰσορόων κακὰ πολλὰ ἑῇ ἠρήσατο γαστρί · τῆμος ἄρʼ οἵγʼ ἀφίκον",02137210-v look at with fixed eyes,Ancient Greek,verb
258.1.11.46958_Luc.VH.,ὑφορᾶσθαι,ὑφοράω,σελήνην. ἀλλὰ θαρρεῖν τε παρεκελεύετο καὶ μηδένα κίνδυνον ὑφορᾶσθαι · πάντα γὰρ ἡμῖν παρέσεσθαι ὧν δεόμεθα.,00923043-v imagine to be the case or true or probable,Ancient Greek,verb
4.1.4.12638_Apul.Met.,aspexi,aspicio,Athenis proxime et ante Poecilen porticum isto gemino obtutu circulatorem aspexi equestrem spatham praeacutam mucrone infesto devorasse ac mox eundem invitam,02133754-v perceive by sight or have the power to perceive by sight,Latin,verb
421.1.54.560248_Polyb.,συνιδὼν,συνοράω,αὔτανδρον τὸ σφέτερον στρατόπεδον ὑποχείριον ποιῆσαι. συνιδὼν δὲ καὶ τὸ περὶ τούτου γεγονὸς ὁ τῶν Καρχηδονίων,00592510-v perceive (an idea or situation) mentally,Ancient Greek,verb
166.1.71.252326_Tac.Hist.,inviso,invideo,"in Capitolium iubet; clementiae titulus e viro claro et partibus inviso petebatur. Celsus constanter servatae erga Galbam fidei crimen confessus, exemplum",01778057-v dislike intensely; feel antipathy or aversion towards,Latin,verb
159.260.54263_Eur.Med.,εἰσορᾶν,εἰσοράω,"μὲν φόβου πλέα κακή τʼ ἐς ἀλκὴν καὶ σίδηρον εἰσορᾶν · ὅταν δʼ ἐς εὐνὴν ἠδικημένη κυρῇ, οὐκ ἔστιν",02134989-v perceive with attention; direct one's gaze towards; look,Ancient Greek,verb
9.215.43927_Aesch.PV.,προσβλέψαι,προσβλέπω,κρατεῖν. τοιαῦτʼ ἐμοῦ λόγοισιν ἐξηγουμένου οὐκ ἠξίωσαν οὐδὲ προσβλέψαι τὸ πᾶν. κράτιστα δή μοι τῶν παρεστώτων τότε ἐφαίνετʼ,02134765-v look at carefully; study mentally,Ancient Greek,verb
77.1.47.5.208317_Caes.Gal.,conspexisset,conspicio,"et ad se referrent. Quos cum apud se in castris Ariovistus conspexisset, exercitu suo praesente conclamavit: quid ad se venirent? an speculandi causa",02158742-v catch sight of,Latin,verb
41.1.17.57599_Cic.Catil.,suspectum,suspicio,"arbitraris? et si me meis civibus iniuria suspectum tam graviter atque offensum viderem, carere me aspectu civium quam infestis",00689827-v regard as untrustworthy; regard with suspicion; have no faith or confidence in,Latin,verb
181.9.655.1294115_Verg.A.,invidet,invideo,"primam hanc tibi magnus, Apollo concedit laudem et paribus non invidet armis: cetera parce, puer, bello.” Sic orsus Apollo mortalis medio",01831006-v be envious of; set one's heart on,Latin,verb
258.2.47.370921_Luc.VH.,ἀπεβλέπομεν,ἀποβλέπω,"ἀπεπλεύσαμεν. καὶ ἐπεὶ ἡμέρα ὑπηύγαζε, τήν τε ἤπειρον ἀπεβλέπομεν εἰκάζομέν τε εἶναι τὴν ἀντιπέρας τῇ ὑφʼ ἡμῶν οἰ",02158742-v catch sight of,Ancient Greek,verb
159.710.146729_Eur.Med.,εἰσίδῃς,εἰσοράω,"με τὴν δυσδαίμονα καὶ μή μʼ ἔρημον ἐκπεσοῦσαν εἰσίδῃς, δέξαι δὲ χώρᾳ καὶ δόμοις ἐφέστιον. οὕτως ἔρως",00691692-v look on as or consider,Ancient Greek,verb
181.2.730.281474_Verg.A.,prospiciens,prospicio,"creber ad auris visus adesse pedum sonitus, genitorque per umbram prospiciens; “Nate ” exclamat, “fuge nate, propinquant. Ardentis clipeos atque aera mic",02173409-v look searchingly,Latin,verb
181.4.460.511904_Verg.A.,exaudiri,exaudio,"honore colebat, velleribus niveis et festa fronde revinctum: hinc exaudiri voces et verba vocantis visa viri, nox cum terras obscura tener","02193614-v hear, usually without the knowledge of the speakers",Latin,verb
435.1.26.136626_Thuc.,ὑπήκουσαν,ὑπακούω,"οἰκήτορας ἀποπέμπειν. οἱ δὲ Ἐπιδάμνιοι οὐδὲν αὐτῶν ὑπήκουσαν, ἀλλὰ στρατεύουσιν ἐπʼ αὐτοὺς οἱ Κερκυραῖοι τεσσαράκοντα ναυ",02577816-v pay close attention to; give heed to,Ancient Greek,verb
140.11.68.2.921268_Diod.Sic.,ὑπακουόντων,ὑπακούω,"καὶ συνελευθερῶσαι τὰς Συρακούσας. πάντων δὲ προθύμως ὑπακουόντων, καὶ συντόμως ἀποστειλάντων τῶν μὲν πεζοὺς καὶ ἱππεῖς",00879879-v yield to another's wish or opinion,Ancient Greek,verb
13.88.222827_Cic.Amic.,perspexisset,perspicio,": si quis in caelum ascendisset naturamque mundi et pulchritudinem siderum perspexisset, insuavem illam admirationem ei fore, quae iucundissima fuisset, si aliquem",02110960-v to become aware of through the senses,Latin,verb
140.11.46.5.746125_Diod.Sic.,ὑπακούοντες,ὑπακούω,"οὐκέτι προσεῖχον, Ἀριστείδην δὲ θαυμάζοντες καὶ πάντα προθύμως ὑπακούοντες ἐποίησαν χωρὶς κινδύνου παραλαβεῖν τὴν κατὰ θάλατταν ἀρχήν",00879879-v yield to another's wish or opinion,Ancient Greek,verb
52.905.199702_Ar.Thesm.,εἰσορῶ,εἰσοράω,; ἀφασία τίς τοί μʼ ἔχει. ὦ θεοὶ τίνʼ ὄψιν εἰσορῶ; τίς εἶ γύναι; σὺ δʼ εἶ τίς; αὑτὸς γὰ,02133754-v perceive by sight or have the power to perceive by sight,Ancient Greek,verb
435.1.141.733736_Thuc.,προϊδεῖν,προοράω,"βλάψειν, μέλειν δέ τινι καὶ ἄλλῳ ὑπὲρ ἑαυτοῦ τι προϊδεῖν, ὥστε τῷ αὐτῷ ὑπὸ ἁπάντων ἰδίᾳ δοξάσματι λανθάνειν",02571406-v act in advance of; deal with ahead of time,Latin,verb
75.2.1.50.211630_Hor.S.,suspectos,suspicio,"malum Turius, siquid se iudice certes. ut quo quisque valet suspectos terreat utque imperet hoc natura potens, sic collige mecum: dente",00689827-v regard as untrustworthy; regard with suspicion; have no faith or confidence in,Latin,verb
435.1.29.147848_Thuc.,ὑπήκουον,ὑπακούω,"δίκη γένηται. Κορίνθιοι δὲ οὐδὲν τούτων ὑπήκουον, ἀλλʼ ἐπειδὴ πλήρεις αὐτοῖς ἦσαν αἱ νῆες καὶ οἱ",02577816-v pay close attention to; give heed to,Ancient Greek,verb
75.1.6.50.136985_Hor.S.,invideat,invideo,"hoc illi est, quia non, ut forsit honorem iure mihi invideat quivis, ita te quoque amicum, praesertim cautum dignos adsumere, prava",01831006-v be envious of; set one's heart on,Latin,verb
5.85.17312_Aesch.Ag.,ἐπαισθομένη,ἐπαισθάνομαι,"θύγατερ, βασίλεια Κλυταιμήστρα, τί χρέος; τί νέον; τί δʼ ἐπαισθομένη, τίνος ἀγγελίας πειθοῖ περίπεμπτα θυοσκεῖς; πάντων",02110960-v to become aware of through the senses,Ancient Greek,verb
181.6.505.814155_Verg.A.,conspicere,conspicio,"voce vocavi. Nomen et arma locum servant; te, amice, nequivi conspicere, et patria decedens ponere terra.” Ad quae Priamides: “Nihil O",02133754-v perceive by sight or have the power to perceive by sight,Latin,verb
139.3.20.2.503088_Sen.Ira.,provisis,provideo,"responsa dederant, quae contumeliosa reges vocant, Cambyses fremebat et non provisis commeatibus, non exploratis itineribus, per invia, per arentia trahebat omnem","01185006-v give what is desired or needed, especially support, food or sustenance",Latin,verb
79.1.54.1.446667_Liv.,adsentire,assentior,"inde in consilia publica adhiberi. ubi cum de aliis rebus adsentire se ueteribus Gabinis diceret quibus eae notiores essent, ipse identidem",00879879-v yield to another's wish or opinion,Latin,verb
79.1.32.13.284835_Liv.,consensit,consentio,"cum Priscis Latinis iussit esse senatusque populi Romani Quiritium censuit consensit consciuit ut bellum cum Priscis Latinis fieret, ob eam rem ego","00766267-v consent or assent to a condition, or agree to do something",Latin,verb
79.2.16.2.628545_Liv.,suspectum,suspicio,"eos et ne quid simul ab Tusculo, unde etsi non apertum, suspectum tamen bellum erat, repentini periculi oreretur, P. Ualerius quartum T.",00923043-v imagine to be the case or true or probable,Latin,verb
435.1.86.437695_Thuc.,περιοψόμεθα,περιοράω,"καὶ νῦν ἐσμέν, καὶ τοὺς ξυμμάχους, ἢν σωφρονῶμεν, οὐ περιοψόμεθα ἀδικουμένους οὐδὲ μελλήσομεν τιμωρεῖν · οἱ δʼ οὐκέτι μέλλουσ",00616690-v leave undone or leave out,Ancient Greek,verb
140.11.30.2.605901_Diod.Sic.,προαισθομένων,προαισθάνομαι,"ἱππεῦσι πρὸς τὴν στρατοπεδείαν ἐπελάσαντες. τῶν δὲ Ἀθηναίων προαισθομένων καὶ συντεταγμένῃ τῇ στρατιᾷ τεθαρρηκότως ἀπαντώντων, συνέβη",00722732-v realize beforehand,Ancient Greek,verb
421.1.31.328137_Polyb.,διακοῦσαν,διακούω,"τοῦ Μάρκου. τὸ δὲ συνέδριον τῶν Καρχηδονίων διακοῦσαν τὰ προτεινόμενα παρὰ τοῦ στρατηγοῦ τῶν Ῥωμαίων, καίπερ",02174625-v listen to every detail and give a full hearing to,Ancient Greek,verb
197.3.120.248726_Hom.Od.,εἰσορόωντα,εἰσοράω,", εἰ ἐτεόν γε κείνου ἔκγονός ἐσσι · σέβας μʼ ἔχει εἰσορόωντα. ἦ τοι γὰρ μῦθοί γε ἐοικότες, οὐδέ κε φαίης",02134989-v perceive with attention; direct one's gaze towards; look,Ancient Greek,verb
421.1.60.622433_Polyb.,συνιδὼν,συνοράω,· διόπερ ἔκρινε μὴ παρεῖναι τὸν ἐνεστῶτα καιρόν · συνιδὼν δὲ τὰς τῶν πολεμίων ναῦς ἱστιοδρομούσας ἀνήγετο μετὰ,02133754-v perceive by sight or have the power to perceive by sight,Ancient Greek,verb
77.3.3.2.359448_Caes.Gal.,conspicerentur,conspicio,"accidisset ac iam omnia fere superiora loca multitudine armatorum completa conspicerentur neque subsidio veniri neque commeatus supportari interclusis itineribus possent,",02133754-v perceive by sight or have the power to perceive by sight,Latin,verb
435.1.83.425279_Thuc.,προΐδωμεν,προοράω,"τῆς αἰτίας ἕξομεν, οὗτοι καὶ καθʼ ἡσυχίαν τι αὐτῶν προΐδωμεν. καὶ τὸ βραδὺ καὶ μέλλον,",00722732-v realize beforehand,Ancient Greek,verb
173.1.129.2.610814_Hdt.,προσιδὼν,προσοράω,δουλοσύνη ἀντὶ τῆς βασιληίης. ὁ δέ μιν προσιδὼν ἀντείρετο εἰ ἑωυτοῦ ποιέεται τὸ Κύρου ἔργον. Ἅρπαγος,00033399-v fixate one's eyes,Ancient Greek,verb
24.3.75.609321_Ap.Rhod.,εἰσορόωσα,εἰσοράω,"δʼ ἐνεοστασίη λάβε μύθων. ἅζετο δʼ ἀντομένην Ἥρην ἕθεν εἰσορόωσα, καί μιν ἔπειτʼ ἀγανοῖσι προσέννεπεν ἥγʼ ἐπέεσσιν ·",02133754-v perceive by sight or have the power to perceive by sight,Ancient Greek,verb
397.26.7.232212_Plut.Alc.,περιορᾶν,περιοράω,"Λακεδαιμονίοις, ὡς διδάσκων τὸν βάρβαρον αὐτοὺς ὑφʼ αὑτῶν περιορᾶν ἀπολλυμένους τοὺς Ἕλληνας. οὐ γὰρ ἦν ἄδηλον ὅτι τοῖ",00804608-v allow the presence of or allow (an activity) without opposing or prohibiting,Ancient Greek,verb
258.2.44.355881_Luc.VH.,περιιδεῖν,περιοράω,μέντοι πάντες ὁπλισάμενοι — οὐ γὰρ ἐδόκει ἡμῖν ἀτιμωρήτους περιιδεῖν τοὺς φίλους — ἐμπίπτομεν τοῖς Βουκεφάλοις τὰ κρέα τῶν,00616690-v leave undone or leave out,Ancient Greek,verb
163.Aug.69.547673_Suet.,perspicerent,perspicio,"amicos, qui matres familias et adultas aetate uirgines denudarent atque perspicerent, tamquam Toranio mangone uendente. scribit etiam ad ipsum","02135744-v observe, check out, and look over carefully or inspect",Latin,verb
424.1183.237266_Soph.Ant.,ἐπῃσθόμην,ἐπαισθάνομαι,"πάρα. ὦ πάντες ἀστοί, τῶν λόγων ἐπῃσθόμην πρὸς ἔξοδον στείχουσα, Παλλάδος θεᾶς ὅπως ἱκοίμην","02193614-v hear, usually without the knowledge of the speakers",Ancient Greek,verb
139.1.11.1.68625_Sen.Ira.,oboedientes,oboedio,"minus; ubi non effusos esse oportet impetus sed temperatos et oboedientes. Quid enim est aliud quod barbaros tanto robustiores corporibus, tanto",02548492-v be obedient to,Latin,verb
Y.16.5.19_Plut.Lyc.,ἀφεώρων,ἀφοράω,"ἄρχοντα δ̓ αὑτοῖς παρίστατο τῆς ἀγέλης τὸν τῷ φρονεῖν διαφέροντα καὶ θυμοειδέστατον ἐν τῷ μάχεσθαι: καὶ πρὸς τοῦτον ἀφεώρων καὶ προστάττοντος ἠκροῶντο καὶ κολάζοντος ἐκαρτέρουν, ὥστε τὴν παιδείαν εἶναι μελέτην εὐπειθείας",02169125-v look at with admiration,Ancient Greek,verb
421.1.35.367180_Polyb.,συνιδεῖν,συνοράω,", τὸν δʼ ἀεὶ θηρευτέον, ἐπεὶ χωρὶς βλάβης ἔστιν συνιδεῖν ἐν αὐτῷ τὸ βέλτιον. ἐξ ὧν συνιδόντι καλλίστη",02197640-v detect with the senses,Ancient Greek,verb
140.11.45.5.734016_Diod.Sic.,προαισθόμενος,προαισθάνομαι,", ὕστερον δὲ τῶν Λακεδαιμονίων τοῖς ἐφόροις συλλαμβανόντων, προαισθόμενος ἔφθασε καὶ κατέφυγεν εἰς ἱερὸν τὸ τῆς Ἀθηνᾶς τ",00722732-v realize beforehand,Ancient Greek,verb
115.1.12.15.73590_Prop.,despectus,despicio,"flere puellae; non nihil aspersis gaudet Amor lacrimis: aut si despectus potuit mutare calores, sunt quoque translato gaudia servitio. mi neque",00798638-v reject with contempt,Latin,verb
197.12.320.1495707_Hom.Od.,ἐπακούει,ἐπακούω,"καὶ ἴφια μῆλα, Ἠελίου, ὃς πάντʼ ἐφορᾷ καὶ πάντʼ ἐπακούει.» “ὣς ἐφάμην, τοῖσιν δʼ ἐπεπείθετο θυμὸς ἀγήνωρ","02193614-v hear, usually without the knowledge of the speakers",Ancient Greek,verb
75.2.6.80.362802_Hor.S.,invidit,invideo,"hospitiis animum. quid multa? neque ille sepositi ciceris nec longae invidit avenae, aridum et ore ferens acinum semesaque lardi frusta dedit",01831006-v be envious of; set one's heart on,Latin,verb
166.1.27.97212_Tac.Hist.,suspecta,suspicio,"convenerat. Otho, causam digressus requirentibus, cum emi sibi praedia vetustate suspecta eoque prius exploranda finxisset, innixus liberto per Tiberianam domum in",00689424-v lack confidence in,Latin,verb
54.32.265515_Arist.Ath.Pol.,ὑπακουόντων,ὑπακούω,"τὸν πόλεμον, ἐφʼ οἷς ἑκάτεροι τυγχάνουσιν ἔχοντες · οὐχ ὑπακουόντων δʼ ἐκείνων, εἰ μὴ καὶ τὴν ἀρχὴν τῆς θαλάττης",00799359-v give an affirmative reply to; respond favorably to,Ancient Greek,verb
435.1.25.128632_Thuc.,περιορᾶν,περιοράω,"ὄντα καὶ τὸ χρηστήριον δηλοῦντες, ἐδέοντό τε μὴ σφᾶς περιορᾶν φθειρομένους, ἀλλʼ ἐπαμῦναι. Κορίνθιοι δὲ κατά τε",00618547-v give little or no attention to,Ancient Greek,verb
54.26.212398_Arist.Ath.Pol.,παρεωρᾶτο,παροράω,"( οἱ δὲ ζευγῖται τὰς ἐγκυκλίους ἦρχον ), εἰ μή τι παρεωρᾶτο τῶν ἐν τοῖς νόμοις. ἔτει δὲ πέμπτῳ μετὰ",00618547-v give little or no attention to,Ancient Greek,verb
181.1.215.45644_Verg.A.,exaudire,exaudio,"inter dubii, seu vivere credant, sive extrema pati nec iam exaudire vocatos. Praecipue pius Aeneas nunc acris Oronti, nunc Amyci casum",02174146-v perceive (sound) via the auditory sense,Latin,verb
166.1.40.143983_Tac.Hist.,aspectus,aspicio,"senatu, truces armis, rapidi equis forum inrumpunt. nec illos Capitolii aspectus et imminentium templorum religio et priores et futuri principes terruere",02133754-v perceive by sight or have the power to perceive by sight,Latin,verb
258.1.19.83671_Luc.VH.,περιορᾶν,περιοράω,"πέμψας ἱκέτευε καθαιρεῖν τὸ οἰκοδόμημα καὶ μὴ σφᾶς περιορᾶν ἐν σκότῳ βιοτεύοντας, ὑπισχνεῖτο δὲ καὶ φόρους τελέσειν",00618547-v give little or no attention to,Ancient Greek,verb
166.1.21.79190_Tac.Hist.,suspectum,suspicio,"Neroni fuisse, nec Lusitaniam rursus et alterius exilii honorem expectandum. suspectum semper invisumque dominantibus qui proximus destinaretur. nocuisse id sibi apud",00689827-v regard as untrustworthy; regard with suspicion; have no faith or confidence in,Latin,verb
424.760.161485_Soph.Ant.,προσόψει,προσοράω,", οὔθʼ ἥδʼ ὀλεῖται πλησία, σύ τʼ οὐδαμὰ τοὐμὸν προσόψει κρᾶτʼ ἐν ὀφθαλμοῖς ὁρῶν, ὡς τοῖς θέλουσι τῶν",02134989-v perceive with attention; direct one's gaze towards; look,Latin,verb
435.1.51.259517_Thuc.,προϊδόντες,προοράω,νῆες ὀλίγαι ἀμύνειν ὦσιν. ταύτας οὖν προϊδόντες οἱ Κορίνθιοι καὶ ὑποτοπήσαντες ἀπʼ Ἀθηνῶν εἶναι οὐχ,02133754-v perceive by sight or have the power to perceive by sight,Latin,verb
105.853.197743_Pl.Mos.,aspice,aspicio,"> abducat face, etsi non metuenda est. Quin tu illam aspice ut placide accubat; nisi molestum vis videri te atque ignavom.",02137650-v look at attentively,Latin,verb
9.245.49244_Aesch.PV.,εἰσιδεῖν,εἰσοράω,", Προμηθεῦ, σοῖσιν οὐ συνασχαλᾷ μόχθοις · ἐγὼ γὰρ οὔτʼ ἂν εἰσιδεῖν τάδε ἔχρῃζον εἰσιδοῦσά τʼ ἠλγύνθην κέαρ. καὶ",02133754-v perceive by sight or have the power to perceive by sight,Ancient Greek,verb
166.1.46.159219_Tac.Hist.,suspectus,suspicio,"partis Othonis secutum; adiungitur Licinius Proculus, intima familiaritate Othonis suspectus consilia eius fovisse. urbi Flavium Sabinum praefecere, iudicium Neronis secuti,",00923043-v imagine to be the case or true or probable,Latin,verb
424.127.31084_Soph.Ant.,ἐσιδὼν,εἰσοράω,"Ζεὺς γὰρ μεγάλης γλώσσης κόμπους ὑπερεχθαίρει, καὶ σφας ἐσιδὼν πολλῷ ῥεύματι προσνισσομένους χρυσοῦ καναχῆς ὑπεροπλίαις, π",02133754-v perceive by sight or have the power to perceive by sight,Ancient Greek,verb
75.1.9.25.173708_Hor.S.,invideat,invideo,"pluris aut citius possit versus? quis membra movere mollius? invideat quod et Hermogenes, ego canto.' interpellandi locus hic erat ' est",01831006-v be envious of; set one's heart on,Latin,verb
24.3.660.742848_Ap.Rhod.,εἰσορόωσα,εἰσοράω,"δʼ ἔνδοθι δαιομένη περ σῖγα μάλα κλαίει χῆρον λέχος εἰσορόωσα, μή μιν κερτομέουσαι ἐπιστοβέωσι γυναῖκες · τῇ ἰκέλη Μήδεια",02134989-v perceive with attention; direct one's gaze towards; look,Ancient Greek,verb
181.7.30.892875_Verg.A.,prospicit,prospicio,marmore tonsae. Atque hic Aeneas ingentem ex aequore lucum prospicit. Hunc inter fluvio Tiberinus amoeno. verticibus rapidis et multa flavus,"02158938-v discover or determine the existence, presence, or fact of by perception with the eyes",Latin,verb
397.25.8.216761_Plut.Alc.,προαισθόμενος,προαισθάνομαι,"τοὺς περὶ τὸν Ἀλκιβιάδην. ὁ δὲ Φρύνιχος προαισθόμενος καὶ προσδεχόμενος δευτέραν κατηγορίαν παρὰ τοῦ Ἀλκιβιάδου,",00722732-v realize beforehand,Ancient Greek,verb
105.47.12996_Pl.Mos.,invidere,invideo,"sunt. meum bonum me, te tuom maneat malum. Quasi invidere mi hoc videre, Grumio, quia mihi bene est et tibi male",01831561-v feel envious towards; admire enviously,Latin,verb
77.4.26.4.546010_Caes.Gal.,conspexerat,conspicio,"navium, item speculatoria navigia militibus compleri iussit, et quos laborantes conspexerat, his subsidia submittebat. Nostri, simul in arido constiterunt, suis",02133754-v perceive by sight or have the power to perceive by sight,Latin,verb
173.1.191.5.870033_Hdt.,περιιδόντες,περιοράω,"Βαβυλώνιοι τὸ ἐκ τοῦ Κύρου ποιεύμενον, οἱ δʼ ἂν περιιδόντες τοὺς Πέρσας ἐσελθεῖν ἐς τὴν πόλιν διέφθειραν ἂν κ",00804608-v allow the presence of or allow (an activity) without opposing or prohibiting,Ancient Greek,verb
79.2.61.3.992316_Liv.,inuisus,invideo,". Duillius et Cn. Siccius diem dixere. nunquam ante tam inuisus plebi reus ad iudicium uocatus populi est, plenus suarum, plenus patern",01778057-v dislike intensely; feel antipathy or aversion towards,Latin,verb
93.750.179312_Pl.Am.,aspice,aspicio,"Mirum quin te adversus dicat. Sosia, age me huc aspice. Specto. Vera volo loqui te, nolo adsentari mihi.",02134989-v perceive with attention; direct one's gaze towards; look,Latin,verb
4.3.25.340046_Apul.Met.,aspexit,aspicio,"respiciens ad illam tacitus expostulabam. Quae ubi primum me talem aspexit, percussit faciem suam manibus infestis, et Occisa sum misera clamavit:",02133754-v perceive by sight or have the power to perceive by sight,Latin,verb
140.11.69.1.932637_Diod.Sic.,ὑπήκουσε,ὑπακούω,"πίστιν, ἅμα δὲ καὶ συγγενὴς ὢν Ἀρταβάνου καὶ φίλος ὑπήκουσε πρὸς τὴν ἐπιβουλήν. ὑπὸ τούτου δὲ νυκτὸς εἰ","00766267-v consent or assent to a condition, or agree to do something",Ancient Greek,verb
197.11.105.1287787_Hom.Od.,ἐπακούει,ἐπακούω,"καὶ ἴφια μῆλα Ἠελίου, ὃς πάντʼ ἐφορᾷ καὶ πάντʼ ἐπακούει. τὰς εἰ μέν κʼ ἀσινέας ἐάᾳς νόστου τε μέδηαι","02193614-v hear, usually without the knowledge of the speakers",Ancient Greek,verb
421.1.30.311289_Polyb.,περιορᾶν,περιοράω,ἔδοξεν οὖν αὐτοῖς βοηθεῖν τῇ χώρᾳ καὶ μὴ περιορᾶν αὐτὴν ἀδεῶς πορθουμένην. ὁ δὲ Μάρκος μετά τι,00804608-v allow the presence of or allow (an activity) without opposing or prohibiting,Ancient Greek,verb
181.12.730.1800786_Verg.A.,aspexit,aspicio,"fuga subsidio subeat. Fugit ocior euro, ut capulum ignotum dextramque aspexit inermem. Fama est praecipitem, cum prima in proelia iunctos conscend",02158742-v catch sight of,Latin,verb
79.2.10.5.579600_Liv.,conspecta,conspicio,". uadit inde in primum aditum pontis, insignisque inter conspecta cedentium pugna terga obuersis comminus ad ineundum proelium armis, ipso","02158938-v discover or determine the existence, presence, or fact of by perception with the eyes",Latin,verb
181.2.785.291254_Verg.A.,aspiciam,aspicio,"dilectae pelle Creüsae. Non ego Myrmidonum sedes Dolopumve superbas aspiciam, aut Graiis servitum matribus ibo, Dardanis, et divae Veneris nurus.",02134989-v perceive with attention; direct one's gaze towards; look,Latin,verb
421.1.83.846473_Polyb.,ὑπήκουον,ὑπακούω,καιροῦ πρὸς ἕκαστα τῶν παρακαλουμένων ἑτοίμως καὶ φιλανθρώπως ὑπήκουον. διὸ καὶ πρὸς μὲν τοὺς Καρχηδονίους ἐπέτρεψαν,02577816-v pay close attention to; give heed to,Ancient Greek,verb
146.1 - 55.20.6032_Sen.Med.,invisus,invideo,"vivat, per urbes erret ignotas egens exul pavens invisus incerti laris, iam notus hospes limen alienum expetat,",01778057-v dislike intensely; feel antipathy or aversion towards,Latin,verb
181.4.95.443795_Verg.A.,suspectas,suspicio,"duorum est! Nec me adeo fallit veritam te moenia nostra suspectas habuisse domos Karthaginis altae. Sed quis erit modus, aut quo",00689827-v regard as untrustworthy; regard with suspicion; have no faith or confidence in,Ancient Greek,verb
